name,price,url,destination,duration,aHref,hrefTags,hotel,flight,category,caption
Shangri-la Nepal Trek P. Ltd,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJbJtLNnSRcn22sbEZvb3CzRM1YbURUmImXnmFOSIMs-xc-pygUYwTrbxiROiMgQ_rNZWhkr31N2leklX3fXs5oSvuDfNQ5-5NBY4ygxK7CZUi60RQ1yviLzSd1S01vRVxTEP5HsnG8gZJ-aKxyM9Ve1u_8wIga2CkxkJIm8XkV76lYT&key=%PLACES_API_KEY%&maxwidth=1024,Kathmandu,,,,,,,Shangri-la Nepal Trek P. Ltd travel agency tourist attraction point of interest establishment
Casino Pride Nepal,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJan2pkbb7YklNahQbIpM2dhDocK_dTLHN1J7TMJt7sMs3WBT5A5YOGnEFjbVps49N82QJ-XZ2mHgC63sSEu6RRX8JYf2D6XtqnL-sPrjZ5wTDCdAhQbQZSwflF5gA_Cit_CkbAwFYGICfgJMHiN3g1dU2Vn8hUVwTjUmf-6reCq_JWK&key=%PLACES_API_KEY%&maxwidth=1024,Kathmandu,,,,,,,Casino Pride Nepal casino tourist attraction point of interest establishment
Russian House,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJafNIS1uxuvAht9jscNgKjPSc2mgMZJq3i068od9XVnalZtTg6fxxmsuMR9SJOm5tW6igbjXktFQ1TbwQgNmXLGjmBn85-hCaHpoDur4dJ69rFhL4ZOWFbnMRunqZ11vC9VBp_MhVxhw6l-nCxV_aEjLFoArkWVbsW7Cbuc986e1-wt&key=%PLACES_API_KEY%&maxwidth=1024,Kathmandu,,,,,,,Russian House tourist attraction point of interest establishment
Nepal Art Council,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJYhuR21JSrBVB_dfR7IQvUJ5JGKEKMh8smn8-SoIlAsk_6d1nzQhu3pU9Vds5VRqxoYKVI7qkm2y96UMTejSDIbG4oy_TBZJXU_pLmr_JzuAzDw6aWXdbusUbzpCtcZGeh8LPcV4_krn60BRBV55pbnFnq0OjSzx0AyKY46DuuJLFSe&key=%PLACES_API_KEY%&maxwidth=1024,Kathmandu,,,,,,,Nepal Art Council tourist attraction point of interest establishment
RN Joshi Museum / Park Gallery,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJYNcm06OuuL2usS26QeCf7o0jgb02TBP06Bgw7NanBZ1uZ3E1PquDO9klHMWQ0wd7toCjHwSOqufKBBnBq-GRsMj1YIhM1dXL_7DZFnYayKuUR2zMMxhiMeSYYtEtcEYfnDJOAvB4wBcPCAeqdiYLpZDQ7rygiGEwxI7Dan8JHcRHyN&key=%PLACES_API_KEY%&maxwidth=1024,Lalitpur,,,,,,,RN Joshi Museum / Park Gallery tourist attraction art gallery museum point of interest establishment
Spiny Babbler,,,Lalitpur,,,,,,,Spiny Babbler museum tourist attraction point of interest establishment
Kathmandu Fun Park,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJaujJIHtmuhgykE54rfThZ4TSGGCBvGB2WJNiomB2Ia15ye8CzSzsv6U34HvmP37HcN8TuMyQ5ubhN1JxN4ZPcI0wmKMj7PftSppukqyPnNL9u4aNyqzbT2TqsAzkIeBHt5LLs8NxuQO2qtTexD66ULike2ljvKBy9PmSzaehmH7Yz2&key=%PLACES_API_KEY%&maxwidth=1024,Kathmandu,,,,,,,Kathmandu Fun Park amusement park tourist attraction park point of interest establishment
Nagarkot Panoramic Hiking Trail,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJYAGyZdmkvSdLc0YEXtCXp9Jx_gXwcPjIJ6JMVxRxu9WbWW9pv2pHq8ANUSUQApp0tgdPkWuafqSaXdiE2XxMBSj85Sl76kPGvVUcr-jqltoHHD2u1vMzkub-HTfALs_p7dLIF-FS6VWKQZLTgNCsCWBTa_DsvczlJ5LFyI7QN6MiEO&key=%PLACES_API_KEY%&maxwidth=1024,Baluwapati Deupur,,,,,,,Nagarkot Panoramic Hiking Trail tourist attraction landmark point of interest establishment
EXPEDITION HIMALAYA. COM PVT LTD,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJYOtEx8stGJN31ArhgF_p3AuWMBOWXOp1GGh0Ykx6GPSSAgjfkTc3DvG1_YMzDrros8hfDFQmkoHPhw6P7FnCfEhN0jfYGrOtGihLPvmfyTV9CewOQhrXrpeXMqZSRcmhxExaJca3xa6VWQzMRuGlnXz-mVn-p-RYNvK5gA6MhfLxQ&key=%PLACES_API_KEY%&maxwidth=1024,Kathmandu,,,,,,,EXPEDITION HIMALAYA. COM PVT LTD travel agency tourist attraction point of interest establishment
Phobjikha Valley,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJatmqMnrC3hYcUKNaQmBqn4MDlEi7VUAF9WIzgKW_alJ1huzFZsSzLS8RhTz02S5XfF0WIxATo6fudbSPddhY-iRUSH2GBSzDXd_dL5ga8LOQThHZvGbiqS7scdE6B-Keoe_cEGXK4WNdYtmsh07ehMIjLV2yOuS14bUUN7IeMaTYE4&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Phobjikha Valley tourist attraction point of interest establishment
jakarlung valley,,,,,,,,,,jakarlung valley tourist attraction point of interest establishment
Lunana,,,,,,,,,,Lunana tourist attraction point of interest establishment
Punakha Dzong སྤུ་ན་ཁ་རྫོང་།,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJZ3XI0VDYHOzRNVPIjT0c20CM0Ir8pcUdfoUgc9JTMvhFkP_nk9UGex0Btaw2gZCm3qwnnP5KskJo-WxqVFe_mqKU1KFSLQFZVGp-N0oAeARdYt9Mxo8ky8X9pK7AAOcTxeolLKQUTMTZI_kpK7LKkPjBDLkqcPL52Pu9TYUztfrs-c&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Punakha Dzong སྤུ་ན་ཁ་རྫོང་། tourist attraction place of worship point of interest establishment
Royal Takin Preserve,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJaxhO0ngI9VVykAcH48WWBg3eb3VWdGEJk3fvmgAp3T9K8esMV1GhhBdjwhtLBrpxGS2N4-THeWWXAKI1n5CO2WNIkaajQqOye1qFwPzSg6DsaNmPrM7zfe88wPsllDR0YHYbTfNnzHzsznVdw7GTG30qe0Fjwve_ucPJ2HpKVDNw04&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Royal Takin Preserve tourist attraction park point of interest establishment
Lawa La,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJbgAgCyw1Yq3ZYBismKSa1y6izcB7F5io1zQLehQWhUMBPei79uR09PtIqhNX-UHshIAZn0MpfgjqQil_c7isZ7kZfAUlKS7YxFdtTftsZiq5V6HIM_EMbsOakTx2aL63dKEMPF3IoEax_nOq0PhUHyymUYDdzJiRPx_AuUMAXQ-3cs&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Lawa La tourist attraction point of interest establishment
Khamsum Yulley Namgyal Choeten,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJb_EGCiNFxLjVTexYqIYPcCVRgwzoqjPCfiPH2Q5HDShdpGcJP69YOZSVLWaGtqfyDogUgF-cf6lpWmzIKA1a92M_4iZJ9jodDVfPwPGJBOCNXe1UDpUroicXC3JjLqPUt0M1NFuwpDEgsb3IAbmD3jhSy_IRsxBKS3oYqL93vl3pZk&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Khamsum Yulley Namgyal Choeten tourist attraction point of interest establishment
