name,price,url,destination,duration,aHref,hrefTags,hotel,flight
Radisson Hotel Kathmandu,,https://www.travelsewa.com/storage/images/hotel-radisson-20191112142352.jpg,,,https://www.travelsewa.com/hotel/radisson-hotel-kathmandu|https://www.travelsewa.com/hotel/hotel-annapurna,,https://www.travelsewa.com/hotels?destination=Kathmandu,
Hotel Annapurna,,https://www.travelsewa.com/storage/images/hotel-annapurna-20191111125911.jpg,,,https://www.travelsewa.com/hotel/radisson-hotel-kathmandu|https://www.travelsewa.com/hotel/hotel-annapurna,,https://www.travelsewa.com/hotels?destination=Kathmandu,
Hotel Dwarika,,https://www.travelsewa.com/storage/images/dwarika-hotel-20200209092604.jpg,,,https://www.travelsewa.com/hotel/hotel-dwarika,,https://www.travelsewa.com/hotels?destination=Pokhara,
